"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","V1"
"3600","ENSFALG00000012326",2.15848979564352e-44,1.00376200230784,0.582,0.182,6.47546938693056e-41,"9","ENSFALG00000012326"
"3601","ENSFALG00000012326",2.05126718873969e-15,0.886159399531972,0.435,0.195,6.15380156621908e-12,"15","ENSFALG00000012326"
"3602","ENSFALG00000012326",7.06641054937609e-08,2.46156522926296,0.312,0.194,0.000211992316481283,"6","ENSFALG00000012326"
"3603","ENSFALG00000012360",1.15618452667469e-41,2.86342977711032,0.702,0.194,3.46855358002406e-38,"13","ENSFALG00000012360"
"3604","ENSFALG00000012360",2.58165306067632e-62,0.585829512465056,0.515,0.183,7.74495918202895e-59,"3","ENSFALG00000012360"
"3605","ENSFALG00000012360",1.36078670462808e-16,2.47342343601868,0.477,0.203,4.08236011388425e-13,"14","ENSFALG00000012360"
"3606","ENSFALG00000012360",1.41030903708389e-11,4.16269470731571,0.648,0.205,4.23092711125166e-08,"17","ENSFALG00000012360"
"3607","ENSFALG00000012387",7.26250705156505e-31,7.55221915783678,0.907,0.117,2.17875211546952e-27,"17","ENSFALG00000012387"
"3608","ENSFALG00000012387",4.92369157339852e-16,0.992525654799415,0.49,0.118,1.47710747201956e-12,"16","ENSFALG00000012387"
"3609","ENSFALG00000012406",1.20411329379424e-14,3.66129888329286,0.741,0.159,3.61233988138272e-11,"17","ENSFALG00000012406"
"3610","ENSFALG00000012406",2.00965227976941e-100,4.09022623674939,0.657,0.122,6.02895683930824e-97,"3","ENSFALG00000012406"
"3611","ENSFALG00000012406",1.41718091452307e-18,1.74226835730401,0.426,0.158,4.25154274356921e-15,"13","ENSFALG00000012406"
"3612","ENSFALG00000012440",3.33412576868672e-35,0.266471342668029,0.607,0.259,1.00023773060601e-31,"8","ENSFALG00000012440"
"3613","ENSFALG00000012440",2.04336051830275e-10,1.24799937855032,0.239,0.278,6.13008155490825e-07,"14","ENSFALG00000012440"
"3614","ENSFALG00000012440",2.65591937514612e-51,0.949149523069553,0.726,0.233,7.96775812543835e-48,"2","ENSFALG00000012440"
"3615","ENSFALG00000012440",8.04278818071064e-105,2.67466121951963,0.675,0.213,2.41283645421319e-101,"0","ENSFALG00000012440"
"3616","ENSFALG00000012545",5.53968718111611e-18,0.892296244020994,0.279,0.167,1.66190615433483e-14,"9","ENSFALG00000012545"
"3617","ENSFALG00000012545",2.25883876658401e-65,0.765849689876346,0.51,0.141,6.77651629975203e-62,"3","ENSFALG00000012545"
"3618","ENSFALG00000012681",3.33708226909292e-12,0.323005248764269,0.338,0.244,1.00112468072788e-08,"9","ENSFALG00000012681"
"3619","ENSFALG00000012681",6.59944334685666e-44,1.3691843948047,0.528,0.203,1.979833004057e-40,"0","ENSFALG00000012681"
"3620","ENSFALG00000012681",2.25501195585741e-20,2.15604965212491,0.401,0.24,6.76503586757224e-17,"6","ENSFALG00000012681"
"3621","ENSFALG00000012681",3.59386283204439e-43,0.355676581335052,0.414,0.232,1.07815884961332e-39,"2","ENSFALG00000012681"
"3622","ENSFALG00000012686",9.92066585475915e-12,2.35499393152725,0.505,0.235,2.97619975642774e-08,"14","ENSFALG00000012686"
